step,tag,value,logdir
3,eval/Mean Reciprocal Rank,0.011626438237726688,shared=True_LF=0.99_LR=0.01
4,eval/Mean Reciprocal Rank,0.012461033649742603,shared=True_LF=0.99_LR=0.01
5,eval/Mean Reciprocal Rank,0.012816695496439934,shared=True_LF=0.99_LR=0.01
6,eval/Mean Reciprocal Rank,0.01334991306066513,shared=True_LF=0.99_LR=0.01
7,eval/Mean Reciprocal Rank,0.013662850484251976,shared=True_LF=0.99_LR=0.01
8,eval/Mean Reciprocal Rank,0.013773473910987377,shared=True_LF=0.99_LR=0.01
9,eval/Mean Reciprocal Rank,0.013680397532880306,shared=True_LF=0.99_LR=0.01
10,eval/Mean Reciprocal Rank,0.013913962990045547,shared=True_LF=0.99_LR=0.01
11,eval/Mean Reciprocal Rank,0.014940609224140644,shared=True_LF=0.99_LR=0.01
12,eval/Mean Reciprocal Rank,0.015277249738574028,shared=True_LF=0.99_LR=0.01
13,eval/Mean Reciprocal Rank,0.01532496977597475,shared=True_LF=0.99_LR=0.01
14,eval/Mean Reciprocal Rank,0.015293758362531662,shared=True_LF=0.99_LR=0.01
15,eval/Mean Reciprocal Rank,0.0157704446464777,shared=True_LF=0.99_LR=0.01
16,eval/Mean Reciprocal Rank,0.01586340367794037,shared=True_LF=0.99_LR=0.01
17,eval/Mean Reciprocal Rank,0.015993479639291763,shared=True_LF=0.99_LR=0.01
18,eval/Mean Reciprocal Rank,0.01626628264784813,shared=True_LF=0.99_LR=0.01
19,eval/Mean Reciprocal Rank,0.016302306205034256,shared=True_LF=0.99_LR=0.01
20,eval/Mean Reciprocal Rank,0.016459906473755836,shared=True_LF=0.99_LR=0.01
21,eval/Mean Reciprocal Rank,0.01633507013320923,shared=True_LF=0.99_LR=0.01
22,eval/Mean Reciprocal Rank,0.01647159270942211,shared=True_LF=0.99_LR=0.01
23,eval/Mean Reciprocal Rank,0.016755305230617523,shared=True_LF=0.99_LR=0.01
24,eval/Mean Reciprocal Rank,0.016931667923927307,shared=True_LF=0.99_LR=0.01
25,eval/Mean Reciprocal Rank,0.017218485474586487,shared=True_LF=0.99_LR=0.01
26,eval/Mean Reciprocal Rank,0.017406461760401726,shared=True_LF=0.99_LR=0.01
27,eval/Mean Reciprocal Rank,0.017011160030961037,shared=True_LF=0.99_LR=0.01
28,eval/Mean Reciprocal Rank,0.017064739018678665,shared=True_LF=0.99_LR=0.01
29,eval/Mean Reciprocal Rank,0.017093541100621223,shared=True_LF=0.99_LR=0.01
30,eval/Mean Reciprocal Rank,0.017272373661398888,shared=True_LF=0.99_LR=0.01
31,eval/Mean Reciprocal Rank,0.01743253692984581,shared=True_LF=0.99_LR=0.01
32,eval/Mean Reciprocal Rank,0.017588727176189423,shared=True_LF=0.99_LR=0.01
33,eval/Mean Reciprocal Rank,0.01758844032883644,shared=True_LF=0.99_LR=0.01
34,eval/Mean Reciprocal Rank,0.017801139503717422,shared=True_LF=0.99_LR=0.01
35,eval/Mean Reciprocal Rank,0.018216995522379875,shared=True_LF=0.99_LR=0.01
36,eval/Mean Reciprocal Rank,0.01829211600124836,shared=True_LF=0.99_LR=0.01
37,eval/Mean Reciprocal Rank,0.018349848687648773,shared=True_LF=0.99_LR=0.01
38,eval/Mean Reciprocal Rank,0.01818275637924671,shared=True_LF=0.99_LR=0.01
39,eval/Mean Reciprocal Rank,0.018278799951076508,shared=True_LF=0.99_LR=0.01
40,eval/Mean Reciprocal Rank,0.01846213825047016,shared=True_LF=0.99_LR=0.01
41,eval/Mean Reciprocal Rank,0.018367396667599678,shared=True_LF=0.99_LR=0.01
42,eval/Mean Reciprocal Rank,0.01856282353401184,shared=True_LF=0.99_LR=0.01
43,eval/Mean Reciprocal Rank,0.018597543239593506,shared=True_LF=0.99_LR=0.01
44,eval/Mean Reciprocal Rank,0.018768837675452232,shared=True_LF=0.99_LR=0.01
45,eval/Mean Reciprocal Rank,0.01883106306195259,shared=True_LF=0.99_LR=0.01
46,eval/Mean Reciprocal Rank,0.019122930243611336,shared=True_LF=0.99_LR=0.01
47,eval/Mean Reciprocal Rank,0.019384559243917465,shared=True_LF=0.99_LR=0.01
48,eval/Mean Reciprocal Rank,0.019529929384589195,shared=True_LF=0.99_LR=0.01
49,eval/Mean Reciprocal Rank,0.019670218229293823,shared=True_LF=0.99_LR=0.01
50,eval/Mean Reciprocal Rank,0.01983511447906494,shared=True_LF=0.99_LR=0.01
